,artwork,titleLabel,materialLabel,genreLabel,collectionLabel,depictLabel,movementLabel,subjectLabel,creatorBirthPlaceLabel,creatorCountryLabel,creatorLabel,genderLabel,inceptionLabel,widthLabel,heightLabel,image,startTime,artworkLabel,locLabel,locatedLabel,endTime,countryLabel,instanceOfLabel,num_creators
23,http://www.wikidata.org/entity/Q17495108,,oil paint; canvas,portrait,Musée d'Orsay; Collection of paintings of the Palais des Beaux-Arts de Lille,Berthe Morisot; bijou; painter; woman; hand fan,Impressionism,,Paris,France,Édouard Manet,male,1874,[61.0],[50.5],http://commons.wikimedia.org/wiki/Special:FilePath/Berthe%20Morisot%20Manet%20Lille%202918.jpg,{'nan'},Berthe Morisot with a Fan,Palais des Beaux-Arts de Lille,,,France,painting,1
25,http://www.wikidata.org/entity/Q17495208,Portrait de l'artiste,oil paint; canvas,self-portrait,Musée d'Orsay; Collection of paintings of the Palais des Beaux-Arts de Lille,Odilon Redon; headgear; painter; man; beard,Symbolism,Odilon Redon,Bordeaux,France,Odilon Redon,male,1880,[52.0],[33.3],http://commons.wikimedia.org/wiki/Special:FilePath/Odilon%20Redon.jpg,{'nan'},Q17495208,Palais des Beaux-Arts de Lille,,,France,painting,1
26,http://www.wikidata.org/entity/Q18384768,Der Weg zum Paradies,oil paint; panel,religious art,Collection of paintings of the Palais des Beaux-Arts de Lille,clothing; hill; gemstone; nudity; bird; wood; woman; man; clergy; angel; Q16636872; flower; Bellis perennis; oak,Flemish Primitives,,Haarlem,Netherlands,Dieric Bouts,male,1450,[69.5],[115.0],http://commons.wikimedia.org/wiki/Special:FilePath/Dieric%20Bouts%20-%20Paradise%20-%20WGA02965.jpg,{'nan'},The Way to Paradise,Palais des Beaux-Arts de Lille,,,France,painting,1
27,http://www.wikidata.org/entity/Q18399815,,oil paint; panel,religious art,Collection of paintings of the Palais des Beaux-Arts de Lille,hell; pain; Day of Judgment; nudity; woman; man; drowning,Flemish Primitives,Day of Judgment,Haarlem,Netherlands,Dieric Bouts,male,1450,[69.5],[115.0],http://commons.wikimedia.org/wiki/Special:FilePath/Dieric%20Bouts%20-%20Hell%20-%20WGA02967.jpg,{'nan'},The Fall of the Damned,Palais des Beaux-Arts de Lille,,,France,painting,1
28,http://www.wikidata.org/entity/Q20011211,,oil paint,genre art,Collection of paintings of the Palais des Beaux-Arts de Lille,applied arts; basketry; basket; vase; Earth; window; bridge; woman; sett; tableware,Baroque,,Rotterdam,Netherlands,Pieter de Hooch,male,1675,[55.0],[65.0],http://commons.wikimedia.org/wiki/Special:FilePath/Lille%20PdBA%20de%20hooch%20jeune%20femme%20servante.JPG,{'nan'},A Woman with a Serving Girl,Palais des Beaux-Arts de Lille,,,France,painting,1
29,http://www.wikidata.org/entity/Q20083819,,oil paint; canvas,genre art,Collection of paintings of the Palais des Beaux-Arts de Lille,twilight; landscape; broad-leaved tree; sleep; woman; lake; child; man; hut; tree,Symbolism,,Lyon,France,Pierre Puvis de Chavannes,male,1867,[600.0],[381.0],http://commons.wikimedia.org/wiki/Special:FilePath/Lille%20PdBA%20puvis%20de%20chavanne%20sommeil.JPG,{'nan'},The Sleep,Palais des Beaux-Arts de Lille,,,France,painting,1
30,http://www.wikidata.org/entity/Q20724303,,oil paint,allegory; still life,Collection of paintings of the Palais des Beaux-Arts de Lille,cello; sphere; chair; globe; bishop; embroidery; headgear; turban; crosier; reliquary; crown; tomb; tambourine; violin; balustrade; palette; lute; goldsmithing; sabre; mitre; viol; weapon; sarcophagus,Baroque; Flemish Baroque painting,,Antwerp,Belgium,Pieter Boel,male,1663,[260.0],[207.0],http://commons.wikimedia.org/wiki/Special:FilePath/Pieter%20Boel%20001.jpg,{'nan'},Large Vanitas,Palais des Beaux-Arts de Lille,,,France,painting,1
31,http://www.wikidata.org/entity/Q20726131,,oil paint; canvas,history painting; architectural view,Collection of paintings of the Palais des Beaux-Arts de Lille,house; bird; square; pond; caress; bow; girl; donkey; winter; wolf; Francis of Assisi; butcher; fountain; statue; Gubbio; house cat; Wolf of Gubbio; column; miracle,academic art,Wolf of Gubbio,Paris,France,Luc-Olivier Merson,male,1877,[133.0],[88.0],http://commons.wikimedia.org/wiki/Special:FilePath/Luc-Olivier%20Merson%20-%20Le%20Loup%20d%27Aggubio.jpg,{'nan'},The Wolf of Gubbio,Palais des Beaux-Arts de Lille,,,France,painting,1
32,http://www.wikidata.org/entity/Q20926427,,oil paint,landscape art,Collection of paintings of the Palais des Beaux-Arts de Lille,landscape; wheat; Haarlem; house; dune; meadow; dog; man; child; road; field; cottage; sky; cloud; tree; horse,Baroque painting,landscape art,Haarlem,Netherlands,Jacob van Ruisdael,male,1660,[56.0],[46.5],http://commons.wikimedia.org/wiki/Special:FilePath/Lille%20PdBA%20Van%20Ruisdael%20champ%20de%20ble.JPG,{'nan'},Hilly wheat field,Palais des Beaux-Arts de Lille,,,France,painting,1
33,http://www.wikidata.org/entity/Q21888125,,oil paint,portrait,Collection of paintings of the Palais des Beaux-Arts de Lille,window; woman,Baroque,,Amsterdam,Netherlands,Willem Drost,male,1654,[65.0],[75.0],http://commons.wikimedia.org/wiki/Special:FilePath/Lille%20PdBA%20drost%20femme.JPG,{'nan'},Woman at a Window,Palais des Beaux-Arts de Lille,,,France,painting,1
